TF	Target	Experimentos
AT1G18330	AT2G20810	1/2
AT1G28470	AT2G20810	1/2
AT1G79580	AT2G20810	2/2
AT1G27730	AT2G20810	2/2
AT4G31800	AT2G20810	2/2
AT3G50260	AT2G20810	2/2
AT5G51990	AT2G20810	2/2
AT1G19000	AT2G20810	1/2
AT1G77200	AT2G20810	1/2
AT2G46770	AT2G20810	1/2
AT4G10350	AT2G20810	1/2
AT1G19210	AT2G20810	2/2
AT5G13180	AT2G20810	2/2
AT1G19850	AT2G20810	1/1
AT2G22540	AT2G20810	1/2
AT5G67190	AT2G20810	1/2
AT3G10113	AT2G20810	1/1
AT4G25490	AT2G20810	2/2
AT1G12630	AT2G20810	2/2
AT5G58900	AT2G20810	1/1
AT5G60130	AT2G20810	1/1
AT2G46270	AT2G20810	1/2
AT4G01540	AT2G20810	1/2
AT5G47390	AT2G20810	1/1
AT4G16750	AT2G20810	1/1
AT1G31140	AT2G20810	1/1
AT4G25470	AT2G20810	1/2
AT2G23340	AT2G20810	1/2
AT4G25480	AT2G20810	2/2
AT1G68320	AT2G20810	1/1
AT3G60580	AT2G20810	1/1
AT4G00250	AT2G20810	1/1
AT2G31220	AT2G20810	1/2
AT1G74840	AT2G20810	1/1
AT1G08010	AT2G20810	1/1
AT5G13790	AT2G20810	1/1
AT3G24120	AT2G23080	1/2
AT4G36740	AT2G23080	2/2
AT5G65310	AT2G23080	2/2
AT2G42200	AT2G23080	2/2
AT5G13080	AT2G23080	2/2
AT1G33240	AT2G23080	2/2
AT2G23320	AT2G23080	1/2
AT3G15270	AT2G23080	2/2
AT2G20110	AT2G23080	1/2
AT2G01060	AT2G23080	1/2
AT1G49560	AT2G23080	2/2
AT4G14770	AT2G23080	1/2
AT2G40260	AT2G23080	1/2
AT5G06100	AT2G23080	1/1
AT5G56110	AT2G23080	1/2
AT4G23550	AT2G23080	1/2
AT1G74650	AT2G23080	1/1
AT3G12720	AT2G23080	1/1
AT3G57920	AT2G23080	1/1
AT1G76890	AT2G23080	1/2
AT2G18380	AT2G23080	1/1
AT1G25550	AT2G23080	2/2
AT2G40620	AT2G23080	1/2
AT2G47070	AT2G23080	2/2
AT4G18170	AT2G23080	1/1
AT1G68670	AT2G23080	2/2
AT5G62000	AT2G23080	1/1
AT5G47660	AT2G23080	1/1
AT2G46680	AT2G23080	1/1
AT1G51140	AT2G23080	1/1
AT2G22430	AT2G23080	1/1
AT5G46830	AT2G23080	1/1
AT1G20910	AT2G23080	1/1
AT1G35460	AT2G23080	1/1
AT1G70920	AT2G23080	1/2
AT5G22990	AT2G23080	1/1
AT2G15740	AT2G23080	1/1
AT3G24120	AT2G25169	2/2
AT5G45580	AT2G25169	1/2
AT1G79580	AT2G25169	1/2
AT4G01250	AT2G25169	1/2
AT1G27730	AT2G25169	2/2
AT1G64620	AT2G25169	1/2
AT4G31800	AT2G25169	2/2
AT3G50260	AT2G25169	1/2
AT1G77200	AT2G25169	1/2
AT3G15270	AT2G25169	1/2
AT2G45410	AT2G25169	2/2
AT2G20110	AT2G25169	1/2
AT2G01060	AT2G25169	1/2
AT1G19850	AT2G25169	1/1
AT5G46350	AT2G25169	1/2
AT5G16820	AT2G25169	2/2
AT2G30250	AT2G25169	1/2
AT4G28500	AT2G25169	1/2
AT2G40260	AT2G25169	1/2
AT3G18400	AT2G25169	1/2
AT2G45420	AT2G25169	1/2
AT1G72740	AT2G25169	1/2
AT3G22760	AT2G25169	1/2
AT3G04060	AT2G25169	1/2
AT4G23550	AT2G25169	1/2
AT1G09540	AT2G25169	1/2
AT5G60130	AT2G25169	1/1
AT1G02230	AT2G25169	2/2
AT5G65210	AT2G25169	1/2
AT3G16280	AT2G25169	1/1
AT3G01530	AT2G25169	1/1
AT3G60580	AT2G25169	1/1
AT1G51220	AT2G25169	1/2
AT1G25340	AT2G25169	1/1
AT3G56400	AT2G25169	1/1
AT2G33550	AT2G25169	1/1
AT1G80840	AT2G25169	1/1
AT1G62300	AT2G25169	1/1
AT4G11660	AT2G25169	1/2
AT4G22070	AT2G25169	1/1
AT3G26790	AT2G25169	1/1
AT4G36740	AT2G25344	2/2
AT5G65310	AT2G25344	2/2
AT1G79580	AT2G25344	1/2
AT5G65410	AT2G25344	2/2
AT5G39760	AT2G25344	2/2
AT4G01250	AT2G25344	2/2
AT5G03790	AT2G25344	2/2
AT1G49480	AT2G25344	1/2
AT5G13080	AT2G25344	1/2
AT5G56840	AT2G25344	1/2
AT3G28920	AT2G25344	1/2
AT5G46350	AT2G25344	1/2
AT3G50060	AT2G25344	1/1
AT5G52830	AT2G25344	1/2
AT2G40260	AT2G25344	1/2
AT2G18550	AT2G25344	2/2
AT5G41570	AT2G25344	1/2
AT5G06100	AT2G25344	1/1
AT5G56110	AT2G25344	1/2
AT1G74650	AT2G25344	1/1
AT3G12720	AT2G25344	1/1
AT2G18350	AT2G25344	2/2
AT1G69780	AT2G25344	1/1
AT5G66700	AT2G25344	1/2
AT5G60130	AT2G25344	1/1
AT1G14687	AT2G25344	1/1
AT5G67300	AT2G25344	1/1
AT3G11440	AT2G25344	1/2
AT3G01530	AT2G25344	1/1
AT2G23290	AT2G25344	1/1
AT2G46680	AT2G25344	1/1
AT1G74480	AT2G25344	1/2
AT1G19790	AT2G25344	1/1
AT3G61150	AT2G25344	1/1
AT4G37260	AT2G25344	1/1
AT2G33550	AT2G25344	1/1
AT4G38170	AT2G25344	1/2
AT5G62320	AT2G25344	1/1
AT2G26960	AT2G25344	1/1
AT1G18330	AT2G25980	2/2
AT2G28810	AT2G25980	1/2
AT4G36740	AT2G25980	2/2
AT5G65310	AT2G25980	1/2
AT5G65410	AT2G25980	2/2
AT4G01250	AT2G25980	1/2
AT5G17300	AT2G25980	2/2
AT5G03790	AT2G25980	1/2
AT1G27730	AT2G25980	2/2
AT3G22830	AT2G25980	1/2
AT3G50260	AT2G25980	1/2
AT1G01060	AT2G25980	1/2
AT1G75240	AT2G25980	1/2
AT3G12250	AT2G25980	2/2
AT3G09600	AT2G25980	1/2
AT1G06280	AT2G25980	1/2
AT1G19210	AT2G25980	1/2
AT4G01280	AT2G25980	1/2
AT1G77920	AT2G25980	1/2
AT1G16490	AT2G25980	1/2
AT3G10113	AT2G25980	1/1
AT1G08320	AT2G25980	1/2
AT5G56110	AT2G25980	1/2
AT2G02820	AT2G25980	1/2
AT5G66700	AT2G25980	1/2
AT1G31140	AT2G25980	1/1
AT5G65210	AT2G25980	2/2
AT5G26170	AT2G25980	1/1
AT3G01530	AT2G25980	1/1
AT1G68320	AT2G25980	1/1
AT5G10030	AT2G25980	1/2
AT4G26030	AT2G25980	1/1
AT1G19790	AT2G25980	1/1
AT2G22430	AT2G25980	1/1
AT1G25340	AT2G25980	1/1
AT5G04390	AT2G25980	1/1
AT5G02840	AT2G25980	1/2
AT5G22990	AT2G25980	1/1
AT5G62320	AT2G25980	1/1
AT4G24020	AT2G25980	1/1
AT3G24120	AT2G27390	1/2
AT4G36740	AT2G27390	2/2
AT5G45580	AT2G27390	1/2
AT5G65310	AT2G27390	2/2
AT1G69010	AT2G27390	2/2
AT5G03790	AT2G27390	2/2
AT3G50260	AT2G27390	1/2
AT3G52440	AT2G27390	1/2
AT1G06280	AT2G27390	1/2
AT2G31230	AT2G27390	1/2
AT1G77200	AT2G27390	1/2
AT2G45410	AT2G27390	2/2
AT2G01060	AT2G27390	1/2
AT1G19850	AT2G27390	1/1
AT5G67190	AT2G27390	2/2
AT1G77920	AT2G27390	1/2
AT2G40260	AT2G27390	1/2
AT2G18550	AT2G27390	2/2
AT2G45420	AT2G27390	2/2
AT3G20310	AT2G27390	1/2
AT2G01930	AT2G27390	1/2
AT1G69780	AT2G27390	1/1
AT5G66700	AT2G27390	1/2
AT2G38340	AT2G27390	1/2
AT5G06950	AT2G27390	1/2
AT1G34190	AT2G27390	1/2
AT1G14687	AT2G27390	1/1
AT5G51190	AT2G27390	1/2
AT4G16750	AT2G27390	1/1
AT1G71450	AT2G27390	1/1
AT3G16280	AT2G27390	1/1
AT2G03500	AT2G27390	1/1
AT5G25190	AT2G27390	1/2
AT1G22810	AT2G27390	1/2
AT4G31060	AT2G27390	1/2
AT2G42430	AT2G27390	1/2
AT1G68550	AT2G27390	1/1
AT5G18450	AT2G27390	1/1
AT1G44830	AT2G27390	1/1
AT1G28470	AT2G29520	2/2
AT2G42200	AT2G29520	2/2
AT1G79580	AT2G29520	1/2
AT1G69010	AT2G29520	2/2
AT4G01250	AT2G29520	2/2
AT1G27730	AT2G29520	2/2
AT3G45610	AT2G29520	1/2
AT4G31800	AT2G29520	2/2
AT5G13080	AT2G29520	1/2
AT1G75240	AT2G29520	1/2
AT5G51990	AT2G29520	1/2
AT2G23320	AT2G29520	1/2
AT3G52440	AT2G29520	1/2
AT5G46350	AT2G29520	1/2
AT3G50060	AT2G29520	1/1
AT1G29280	AT2G29520	1/2
AT1G77920	AT2G29520	1/2
AT2G30250	AT2G29520	1/2
AT5G52830	AT2G29520	1/2
AT3G18400	AT2G29520	1/2
AT5G41570	AT2G29520	1/2
AT3G20310	AT2G29520	1/2
AT4G23550	AT2G29520	1/2
AT1G74650	AT2G29520	1/1
AT1G09540	AT2G29520	1/2
AT3G57920	AT2G29520	1/1
AT1G06850	AT2G29520	1/2
AT2G01930	AT2G29520	1/2
AT4G36160	AT2G29520	1/2
AT2G18380	AT2G29520	1/1
AT5G51190	AT2G29520	1/2
AT2G40620	AT2G29520	1/2
AT1G34180	AT2G29520	1/1
AT3G24520	AT2G29520	1/2
AT5G04390	AT2G29520	1/1
AT2G40740	AT2G29520	1/1
AT4G37260	AT2G29520	1/1
AT5G64060	AT2G29520	1/2
AT3G56400	AT2G29520	1/1
AT2G18060	AT2G29520	1/1
AT1G32870	AT2G29520	1/1
AT1G18330	AT2G30432	2/2
AT4G36740	AT2G30432	2/2
AT5G65310	AT2G30432	2/2
AT5G66940	AT2G30432	1/2
AT5G03790	AT2G30432	2/2
AT1G49480	AT2G30432	2/2
AT5G13080	AT2G30432	1/2
AT2G23320	AT2G30432	1/2
AT1G06280	AT2G30432	1/2
AT2G31230	AT2G30432	1/2
AT2G20110	AT2G30432	2/2
AT1G19850	AT2G30432	1/1
AT2G30250	AT2G30432	1/2
AT5G52830	AT2G30432	1/2
AT1G49560	AT2G30432	2/2
AT4G14770	AT2G30432	1/2
AT2G18550	AT2G30432	1/2
AT3G18400	AT2G30432	1/2
AT3G10113	AT2G30432	1/1
AT3G22760	AT2G30432	1/2
AT2G33710	AT2G30432	1/2
AT3G20310	AT2G30432	1/2
AT1G69780	AT2G30432	1/1
AT5G19790	AT2G30432	1/2
AT5G60130	AT2G30432	1/1
AT1G14687	AT2G30432	1/1
AT5G51190	AT2G30432	1/2
AT1G25550	AT2G30432	1/2
AT5G47390	AT2G30432	1/1
AT3G01530	AT2G30432	1/1
AT1G68670	AT2G30432	1/2
AT4G00250	AT2G30432	1/1
AT3G61150	AT2G30432	1/1
AT2G22430	AT2G30432	1/1
AT5G04390	AT2G30432	1/1
AT4G38170	AT2G30432	1/2
AT1G20910	AT2G30432	1/1
AT4G00730	AT2G30432	1/1
AT5G67580	AT2G30432	1/1
AT1G03800	AT2G30432	1/1
AT3G50260	AT2G31585	1/2
AT1G77200	AT2G31585	1/2
AT2G45410	AT2G31585	1/2
AT5G67190	AT2G31585	2/2
AT1G77920	AT2G31585	1/2
AT2G45420	AT2G31585	1/2
AT5G05550	AT2G31585	2/2
AT2G33710	AT2G31585	1/2
AT3G62420	AT2G31585	2/2
AT1G12630	AT2G31585	1/2
AT2G01930	AT2G31585	2/2
AT2G46270	AT2G31585	1/2
AT5G06950	AT2G31585	1/2
AT4G16750	AT2G31585	1/1
AT1G53170	AT2G31585	1/2
AT1G71450	AT2G31585	1/1
AT5G07310	AT2G31585	1/2
AT5G64750	AT2G31585	1/2
AT5G25190	AT2G31585	1/2
AT4G34590	AT2G31585	1/1
AT1G28160	AT2G31585	2/2
AT1G43160	AT2G31585	1/2
AT4G34410	AT2G31585	1/2
AT2G35530	AT2G31585	1/2
AT1G22810	AT2G31585	1/2
AT1G32150	AT2G31585	1/1
AT4G31060	AT2G31585	1/2
AT5G15830	AT2G31585	1/1
AT4G38170	AT2G31585	1/2
AT2G18160	AT2G31585	1/2
AT1G28370	AT2G31585	1/1
AT1G53910	AT2G31585	1/1
AT3G14180	AT2G31585	1/1
AT1G68550	AT2G31585	1/1
AT2G35700	AT2G31585	1/1
AT3G56850	AT2G31585	1/1
AT1G50640	AT2G31585	1/1
AT5G18560	AT2G31585	1/1
AT1G46768	AT2G31585	1/1
AT5G65130	AT2G31585	1/1
AT1G44830	AT2G31585	1/1
AT5G13910	AT2G31585	1/1
AT5G39760	AT2G38300	1/2
AT1G49480	AT2G38300	1/2
AT3G45610	AT2G38300	2/2
AT3G22830	AT2G38300	1/2
AT1G64620	AT2G38300	1/2
AT4G31800	AT2G38300	2/2
AT1G19000	AT2G38300	1/2
AT3G52440	AT2G38300	1/2
AT1G49010	AT2G38300	2/2
AT1G77200	AT2G38300	1/2
AT2G37590	AT2G38300	1/2
AT1G19210	AT2G38300	1/2
AT5G04410	AT2G38300	2/2
AT2G20110	AT2G38300	1/2
AT2G01060	AT2G38300	1/2
AT1G19850	AT2G38300	1/1
AT3G10480	AT2G38300	2/2
AT1G72740	AT2G38300	1/2
AT3G22760	AT2G38300	1/2
AT5G61620	AT2G38300	2/2
AT2G01940	AT2G38300	1/2
AT1G06850	AT2G38300	1/2
AT2G01930	AT2G38300	1/2
AT5G58900	AT2G38300	1/1
AT5G19790	AT2G38300	1/2
AT2G18380	AT2G38300	1/1
AT1G34190	AT2G38300	1/2
AT1G34180	AT2G38300	1/1
AT5G08520	AT2G38300	1/2
AT3G01530	AT2G38300	1/1
AT1G68320	AT2G38300	1/1
AT2G02080	AT2G38300	1/1
AT5G54230	AT2G38300	2/2
AT1G19790	AT2G38300	1/1
AT2G02070	AT2G38300	1/1
AT1G74840	AT2G38300	1/1
AT4G38170	AT2G38300	1/2
AT1G20910	AT2G38300	1/1
AT3G18990	AT2G38300	1/1
AT3G46590	AT2G38300	1/2
AT2G28810	AT2G46080	2/2
AT5G02460	AT2G46080	2/2
AT5G66940	AT2G46080	2/2
AT5G03790	AT2G46080	1/2
AT1G27730	AT2G46080	1/2
AT1G49480	AT2G46080	1/2
AT3G45610	AT2G46080	2/2
AT1G64620	AT2G46080	1/2
AT3G50260	AT2G46080	1/2
AT1G33240	AT2G46080	1/2
AT5G60850	AT2G46080	2/2
AT3G52440	AT2G46080	1/2
AT1G49010	AT2G46080	1/2
AT2G37590	AT2G46080	2/2
AT1G19210	AT2G46080	1/2
AT4G32730	AT2G46080	2/2
AT5G62940	AT2G46080	1/1
AT3G55370	AT2G46080	1/2
AT5G05550	AT2G46080	1/2
AT3G50410	AT2G46080	1/1
AT5G63260	AT2G46080	1/2
AT4G21080	AT2G46080	1/1
AT5G06100	AT2G46080	1/1
AT1G69780	AT2G46080	1/1
AT5G58900	AT2G46080	1/1
AT4G21040	AT2G46080	1/1
AT5G19790	AT2G46080	1/2
AT5G60130	AT2G46080	1/1
AT4G01540	AT2G46080	1/2
AT2G18380	AT2G46080	1/1
AT3G21890	AT2G46080	1/1
AT3G01530	AT2G46080	1/1
AT1G51700	AT2G46080	1/1
AT1G52880	AT2G46080	2/2
AT3G04070	AT2G46080	1/1
AT3G15500	AT2G46080	1/1
AT1G69490	AT2G46080	1/2
AT5G22990	AT2G46080	1/1
AT5G02320	AT2G46080	1/1
AT3G24120	AT2G47920	2/2
AT1G28470	AT2G47920	2/2
AT5G45580	AT2G47920	2/2
AT1G06280	AT2G47920	1/2
AT2G31230	AT2G47920	2/2
AT2G45410	AT2G47920	2/2
AT1G19210	AT2G47920	1/2
AT3G04030	AT2G47920	1/2
AT2G20110	AT2G47920	1/2
AT2G01060	AT2G47920	2/2
AT4G28500	AT2G47920	1/2
AT1G49560	AT2G47920	1/2
AT4G14770	AT2G47920	2/2
AT3G22760	AT2G47920	2/2
AT4G37180	AT2G47920	1/2
AT3G62420	AT2G47920	2/2
AT2G46270	AT2G47920	1/2
AT2G18380	AT2G47920	1/1
AT5G51190	AT2G47920	1/2
AT1G25550	AT2G47920	1/2
AT1G34180	AT2G47920	1/1
AT2G03500	AT2G47920	1/1
AT1G68320	AT2G47920	1/1
AT3G12730	AT2G47920	1/1
AT4G34590	AT2G47920	1/1
AT2G44840	AT2G47920	1/1
AT1G25340	AT2G47920	1/1
AT2G35530	AT2G47920	1/2
AT1G32150	AT2G47920	1/1
AT5G15830	AT2G47920	1/1
AT1G53910	AT2G47920	1/1
AT2G43000	AT2G47920	1/1
AT2G02450	AT2G47920	1/1
AT2G20400	AT2G47920	1/1
AT4G36780	AT2G47920	1/1
AT1G03800	AT2G47920	1/1
AT5G29000	AT2G47920	1/1
AT5G39820	AT2G47920	1/1
AT1G79580	AT3G03820	2/2
AT1G69010	AT3G03820	1/2
AT5G17300	AT3G03820	2/2
AT3G50260	AT3G03820	1/2
AT1G01060	AT3G03820	1/2
AT5G51990	AT3G03820	2/2
AT3G09600	AT3G03820	2/2
AT1G77200	AT3G03820	1/2
AT2G46770	AT3G03820	2/2
AT4G10350	AT3G03820	2/2
AT5G04410	AT3G03820	2/2
AT4G01280	AT3G03820	1/2
AT5G13180	AT3G03820	2/2
AT5G16820	AT3G03820	1/2
AT5G67190	AT3G03820	1/2
AT3G18400	AT3G03820	2/2
AT3G10480	AT3G03820	2/2
AT3G04060	AT3G03820	1/2
AT5G52660	AT3G03820	1/2
AT4G25490	AT3G03820	2/2
AT3G03200	AT3G03820	1/2
AT5G19790	AT3G03820	1/2
AT2G38340	AT3G03820	1/2
AT2G18380	AT3G03820	1/1
AT4G16750	AT3G03820	1/1
AT4G25470	AT3G03820	1/2
AT1G34180	AT3G03820	1/1
AT3G10500	AT3G03820	2/2
AT1G71450	AT3G03820	1/1
AT4G25480	AT3G03820	2/2
AT3G16280	AT3G03820	1/1
AT3G24520	AT3G03820	2/2
AT1G65910	AT3G03820	1/1
AT1G18330	AT3G03826	1/2
AT2G28810	AT3G03826	1/2
AT4G36740	AT3G03826	1/2
AT5G02460	AT3G03826	1/2
AT4G01250	AT3G03826	1/2
AT5G17300	AT3G03826	1/2
AT1G27730	AT3G03826	2/2
AT1G49480	AT3G03826	1/2
AT3G22830	AT3G03826	1/2
AT1G64620	AT3G03826	1/2
AT4G31800	AT3G03826	2/2
AT5G13080	AT3G03826	1/2
AT1G01060	AT3G03826	2/2
AT1G33240	AT3G03826	1/2
AT5G60850	AT3G03826	2/2
AT2G23320	AT3G03826	1/2
AT3G09600	AT3G03826	1/2
AT3G52440	AT3G03826	2/2
AT2G37590	AT3G03826	2/2
AT3G04030	AT3G03826	1/2
AT4G01280	AT3G03826	2/2
AT3G47500	AT3G03826	2/2
AT2G30250	AT3G03826	1/2
AT3G10113	AT3G03826	1/1
AT5G63260	AT3G03826	1/2
AT5G60130	AT3G03826	1/1
AT1G14687	AT3G03826	1/1
AT1G34180	AT3G03826	1/1
AT5G26170	AT3G03826	1/1
AT3G60580	AT3G03826	1/1
AT5G47660	AT3G03826	1/1
AT1G29160	AT3G03826	1/1
AT3G61150	AT3G03826	1/1
AT5G04390	AT3G03826	1/1
AT2G40740	AT3G03826	1/1
AT1G30490	AT3G03826	1/1
AT1G47655	AT3G03826	1/2
AT1G80840	AT3G03826	1/1
AT3G18990	AT3G03826	1/1
AT2G28810	AT3G04690	1/2
AT1G28470	AT3G04690	2/2
AT5G02460	AT3G04690	1/2
AT5G66940	AT3G04690	1/2
AT1G49480	AT3G04690	2/2
AT3G45610	AT3G04690	1/2
AT3G22830	AT3G04690	1/2
AT1G33240	AT3G04690	1/2
AT3G52440	AT3G04690	1/2
AT2G31230	AT3G04690	1/2
AT2G46590	AT3G04690	1/2
AT3G50060	AT3G04690	1/1
AT4G32730	AT3G04690	1/2
AT2G30250	AT3G04690	1/2
AT4G28500	AT3G04690	1/2
AT3G10480	AT3G04690	2/2
AT5G41570	AT3G04690	1/2
AT3G50410	AT3G04690	1/1
AT4G21080	AT3G04690	1/1
AT3G04060	AT3G04690	1/2
AT5G06100	AT3G04690	1/1
AT5G56110	AT3G04690	1/2
AT3G62420	AT3G04690	1/2
AT1G06850	AT3G04690	1/2
AT5G19790	AT3G04690	1/2
AT2G46270	AT3G04690	1/2
AT2G40620	AT3G04690	1/2
AT5G67300	AT3G04690	1/1
AT3G21890	AT3G04690	1/1
AT1G34180	AT3G04690	1/1
AT3G08500	AT3G04690	1/1
AT5G07310	AT3G04690	1/2
AT2G02080	AT3G04690	1/1
AT5G54230	AT3G04690	1/2
AT2G32460	AT3G04690	1/2
AT4G34590	AT3G04690	1/1
AT1G51220	AT3G04690	2/2
AT1G43160	AT3G04690	1/2
AT2G02070	AT3G04690	1/1
AT2G40740	AT3G04690	1/1
AT2G35530	AT3G04690	1/2
AT5G15830	AT3G04690	1/1
AT5G02320	AT3G04690	1/1
AT4G36740	AT3G04735	1/2
AT5G65310	AT3G04735	2/2
AT2G42200	AT3G04735	2/2
AT1G69010	AT3G04735	2/2
AT4G01250	AT3G04735	1/2
AT5G03790	AT3G04735	2/2
AT1G64620	AT3G04735	1/2
AT4G31800	AT3G04735	2/2
AT5G13080	AT3G04735	1/2
AT5G60850	AT3G04735	1/2
AT5G56840	AT3G04735	2/2
AT2G23320	AT3G04735	1/2
AT5G46350	AT3G04735	1/2
AT1G29280	AT3G04735	1/2
AT2G30250	AT3G04735	2/2
AT5G52830	AT3G04735	1/2
AT2G18550	AT3G04735	1/2
AT5G41570	AT3G04735	2/2
AT4G23550	AT3G04735	1/2
AT1G74650	AT3G04735	1/1
AT3G57920	AT3G04735	1/1
AT1G69780	AT3G04735	1/1
AT1G76890	AT3G04735	1/2
AT5G66700	AT3G04735	1/2
AT1G13260	AT3G04735	1/2
AT3G01970	AT3G04735	1/2
AT4G18170	AT3G04735	1/1
AT1G29860	AT3G04735	1/1
AT2G33550	AT3G04735	1/1
AT4G36780	AT3G04735	1/1
AT2G38470	AT3G04735	1/1
AT1G78700	AT3G04735	1/1
AT5G45300	AT3G04735	2/2
AT4G05100	AT3G04735	1/1
AT4G26640	AT3G04735	1/1
AT2G03340	AT3G04735	1/1
AT1G75080	AT3G04735	1/1
AT4G18890	AT3G04735	1/1
AT2G28810	AT3G11220	2/2
AT5G45580	AT3G11220	2/2
AT5G02460	AT3G11220	2/2
AT5G66940	AT3G11220	1/2
AT3G45610	AT3G11220	1/2
AT3G22830	AT3G11220	1/2
AT1G64620	AT3G11220	2/2
AT1G19000	AT3G11220	1/2
AT5G60850	AT3G11220	1/2
AT3G52440	AT3G11220	1/2
AT1G49010	AT3G11220	1/2
AT2G37590	AT3G11220	1/2
AT2G46590	AT3G11220	1/2
AT2G45410	AT3G11220	2/2
AT3G04030	AT3G11220	1/2
AT2G01060	AT3G11220	2/2
AT3G50060	AT3G11220	1/1
AT2G40260	AT3G11220	1/2
AT5G61620	AT3G11220	2/2
AT5G63260	AT3G11220	1/2
AT5G06100	AT3G11220	1/1
AT1G74650	AT3G11220	1/1
AT5G60130	AT3G11220	1/1
AT5G58850	AT3G11220	2/2
AT2G40620	AT3G11220	1/2
AT5G47390	AT3G11220	1/1
AT5G67300	AT3G11220	1/1
AT3G11440	AT3G11220	1/2
AT3G12130	AT3G11220	1/1
AT3G60580	AT3G11220	1/1
AT2G23290	AT3G11220	1/1
AT1G29160	AT3G11220	1/1
AT2G32460	AT3G11220	1/2
AT1G47655	AT3G11220	1/2
AT3G15500	AT3G11220	1/1
AT5G17800	AT3G11220	1/2
AT4G18770	AT3G11220	1/1
AT2G26960	AT3G11220	1/1
AT4G01500	AT3G11220	1/1
AT3G24120	AT3G11990	1/2
AT1G18330	AT3G11990	2/2
AT4G36740	AT3G11990	2/2
AT5G17300	AT3G11990	1/2
AT1G27730	AT3G11990	2/2
AT3G22830	AT3G11990	2/2
AT1G01060	AT3G11990	2/2
AT1G19000	AT3G11990	1/2
AT5G56840	AT3G11990	1/2
AT1G06280	AT3G11990	2/2
AT3G15270	AT3G11990	1/2
AT2G45410	AT3G11990	2/2
AT2G20110	AT3G11990	2/2
AT4G01280	AT3G11990	1/2
AT5G16820	AT3G11990	2/2
AT4G14770	AT3G11990	2/2
AT2G18550	AT3G11990	1/2
AT2G45420	AT3G11990	2/2
AT3G10113	AT3G11990	1/1
AT3G22760	AT3G11990	2/2
AT2G01940	AT3G11990	1/2
AT1G74650	AT3G11990	1/1
AT5G58900	AT3G11990	1/1
AT4G21040	AT3G11990	1/1
AT5G66700	AT3G11990	1/2
AT5G47390	AT3G11990	1/1
AT1G01720	AT3G11990	1/1
AT5G04390	AT3G11990	1/1
AT1G74840	AT3G11990	1/1
AT3G09735	AT3G11990	1/1
AT1G20910	AT3G11990	1/1
AT2G06200	AT3G11990	1/1
AT2G02450	AT3G11990	1/1
AT2G30340	AT3G11990	1/1
AT3G26620	AT3G11990	1/1
AT1G18330	AT3G15850	2/2
AT5G17300	AT3G15850	1/2
AT4G31800	AT3G15850	1/2
AT1G01060	AT3G15850	2/2
AT1G19000	AT3G15850	2/2
AT5G56840	AT3G15850	1/2
AT3G09600	AT3G15850	1/2
AT1G49010	AT3G15850	2/2
AT2G31230	AT3G15850	1/2
AT4G01280	AT3G15850	1/2
AT2G22540	AT3G15850	1/2
AT4G28500	AT3G15850	1/2
AT1G16490	AT3G15850	2/2
AT3G18400	AT3G15850	1/2
AT3G10113	AT3G15850	1/1
AT5G61620	AT3G15850	2/2
AT2G33710	AT3G15850	1/2
AT3G04060	AT3G15850	1/2
AT5G52660	AT3G15850	1/2
AT1G74650	AT3G15850	1/1
AT3G12720	AT3G15850	1/1
AT2G01930	AT3G15850	1/2
AT5G58900	AT3G15850	1/1
AT2G02820	AT3G15850	1/2
AT1G13260	AT3G15850	1/2
AT5G47390	AT3G15850	1/1
AT1G31140	AT3G15850	1/1
AT3G08500	AT3G15850	1/1
AT5G08520	AT3G15850	1/2
AT5G07310	AT3G15850	1/2
AT5G64750	AT3G15850	1/2
AT3G01530	AT3G15850	1/1
AT2G46680	AT3G15850	1/1
AT1G51140	AT3G15850	1/1
AT1G01720	AT3G15850	1/1
AT4G34410	AT3G15850	1/2
AT1G74840	AT3G15850	1/1
AT4G31060	AT3G15850	1/2
AT3G04070	AT3G15850	1/1
AT2G33550	AT3G15850	1/1
AT1G35460	AT3G15850	1/1
AT1G18330	AT3G16700	1/2
AT4G36740	AT3G16700	2/2
AT5G65310	AT3G16700	1/2
AT5G65410	AT3G16700	1/2
AT5G39760	AT3G16700	1/2
AT5G03790	AT3G16700	2/2
AT1G49480	AT3G16700	1/2
AT3G22830	AT3G16700	1/2
AT4G31800	AT3G16700	2/2
AT5G13080	AT3G16700	2/2
AT1G75240	AT3G16700	1/2
AT1G33240	AT3G16700	1/2
AT5G51990	AT3G16700	1/2
AT3G12250	AT3G16700	1/2
AT2G23320	AT3G16700	1/2
AT1G77200	AT3G16700	1/2
AT5G46350	AT3G16700	1/2
AT1G29280	AT3G16700	1/2
AT2G22540	AT3G16700	1/2
AT2G30250	AT3G16700	1/2
AT5G52830	AT3G16700	1/2
AT2G18550	AT3G16700	2/2
AT5G41570	AT3G16700	2/2
AT4G23550	AT3G16700	1/2
AT3G62420	AT3G16700	2/2
AT1G69780	AT3G16700	1/1
AT5G66700	AT3G16700	1/2
AT2G46270	AT3G16700	1/2
AT4G16750	AT3G16700	1/1
AT1G31140	AT3G16700	1/1
AT3G16280	AT3G16700	1/1
AT4G18170	AT3G16700	1/1
AT1G51140	AT3G16700	1/1
AT4G34590	AT3G16700	1/1
AT2G40740	AT3G16700	1/1
AT1G29860	AT3G16700	1/1
AT2G35530	AT3G16700	1/2
